9900285874,Annual Membership (Austin B-cycle),445,2014-10-26T00:00:00.000,13:12:00,2544,East 6th & Pedernales St.,2822,East 6th at Robert Martinez,21,10,2014,2544,East 6th & Pedernales St.,active,"{'latitude': '30.25895', 'longitude': '-97.71475'}",2498 E. 6th St.,16738,undetermined_parking,11,solar,35,5,3,2021-01-04T00:00:00.000,2857,3,,,30.25895,-97.71475,2822,East 6th at Robert Martinez,active,"{'latitude': '30.26032', 'longitude': '-97.71899'}",2120 East 6th St,16674,undetermined_parking,13,solar,40,5,3,2021-01-04T00:00:00.000,2857,3,,,30.26032,-97.71899,0.2705330236209092
9900285875,24-Hour Kiosk (Austin B-cycle),864,2014-10-26T00:00:00.000,13:12:00,2563,Davis at Rainey Street,2707,Rainey St @ Cummings,41,10,2014,2563,Rainey/Driskill,active,"{'latitude': '30.260814', 'longitude': '-97.738086'}",698 Davis St,16751,paid_parking,12,non-metered,40,5,9,2022-03-04T08:26:00.000,2856,9,,,30.260814,-97.738086,2707,Rainey St @ Cummings,active,"{'latitude': '30.255906', 'longitude': '-97.739949'}",1 Rainey St,16597,parkland,17,solar,50,5,9,2022-03-04T10:38:00.000,2856,9,parkland at ROW/easement,,30.255906,-97.739949,0.3559607555636785
9900285876,24-Hour Kiosk (Austin B-cycle),843,2014-10-26T00:00:00.000,13:12:00,2563,Davis at Rainey Street,2707,Rainey St @ Cummings,41,10,2014,2563,Rainey/Driskill,active,"{'latitude': '30.260814', 'longitude': '-97.738086'}",698 Davis St,16751,paid_parking,12,non-metered,40,5,9,2022-03-04T08:26:00.000,2856,9,,,30.260814,-97.738086,2707,Rainey St @ Cummings,active,"{'latitude': '30.255906', 'longitude': '-97.739949'}",1 Rainey St,16597,parkland,17,solar,50,5,9,2022-03-04T10:38:00.000,2856,9,parkland at ROW/easement,,30.255906,-97.739949,0.3559607555636785
9900285877,24-Hour Kiosk (Austin B-cycle),934,2014-10-26T00:00:00.000,13:12:00,2563,Davis at Rainey Street,2707,Rainey St @ Cummings,40,10,2014,2563,Rainey/Driskill,active,"{'latitude': '30.260814', 'longitude': '-97.738086'}",698 Davis St,16751,paid_parking,12,non-metered,40,5,9,2022-03-04T08:26:00.000,2856,9,,,30.260814,-97.738086,2707,Rainey St @ Cummings,active,"{'latitude': '30.255906', 'longitude': '-97.739949'}",1 Rainey St,16597,parkland,17,solar,50,5,9,2022-03-04T10:38:00.000,2856,9,parkland at ROW/easement,,30.255906,-97.739949,0.3559607555636785
9900285878,24-Hour Kiosk (Austin B-cycle),124,2014-10-26T00:00:00.000,13:12:00,2548,UT West Mall @ Guadalupe,2548,UT West Mall @ Guadalupe,28,10,2014,2548,UT West Mall @ Guadalupe,active,"{'latitude': '30.28576', 'longitude': '-97.74181'}",2242 Guadalupe St.,16748,paid_parking,15,solar,45,5,9,2021-01-04T00:00:00.000,2860,9,"in buffer area parking, check dock #",,30.28576,-97.74181,2548,UT West Mall @ Guadalupe,active,"{'latitude': '30.28576', 'longitude': '-97.74181'}",2242 Guadalupe St.,16748,paid_parking,15,solar,45,5,9,2021-01-04T00:00:00.000,2860,9,"in buffer area parking, check dock #",,30.28576,-97.74181,0.0
9900285879,24-Hour Kiosk (Austin B-cycle),114,2014-10-26T00:00:00.000,13:12:00,,East 11th Street at Victory Grill,2547,Guadalupe & 21st,23,10,2014,,,,,,,,,,,,,,,,,,,,2547,Guadalupe & 21st,active,"{'latitude': '30.28395', 'longitude': '-97.74198'}",2100 Guadalupe St.,16749,paid_parking,13,solar,40,5,9,2021-01-04T00:00:00.000,2860,9,in buffer area parking,,30.28395,-97.74198,
9900285880,24-Hour Kiosk (Austin B-cycle),19,2014-10-26T00:00:00.000,13:12:00,2566,Pfluger Bridge @ W 2nd Street,2572,Barton Springs Pool,12,10,2014,2566,Pfluger Bridge @ W 2nd Street,active,"{'latitude': '30.26717', 'longitude': '-97.75484'}",Presented by Austin Parks Foundation,16762,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2858,9,adjacent to parkland,,30.26717,-97.75484,2572,Barton Springs Pool,active,"{'latitude': '30.26452', 'longitude': '-97.7712'}",2200 William Barton Dr.,16758,parkland,13,solar,40,5,8,2021-01-04T00:00:00.000,3260,8,,,30.26452,-97.7712,0.9951050206531371
9900285881,24-Hour Kiosk (Austin B-cycle),924,2014-10-26T00:00:00.000,14:12:00,2548,UT West Mall @ Guadalupe,2499,City Hall / Lavaca & 2nd,14,10,2014,2548,UT West Mall @ Guadalupe,active,"{'latitude': '30.28576', 'longitude': '-97.74181'}",2242 Guadalupe St.,16748,paid_parking,15,solar,45,5,9,2021-01-04T00:00:00.000,2860,9,"in buffer area parking, check dock #",,30.28576,-97.74181,2499,City Hall / Lavaca & 2nd,active,"{'latitude': '30.26476', 'longitude': '-97.74678'}",Presented by Graves Dougherty Hearon & Moody,16732,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2856,9,check dock #-18?,,30.26476,-97.74678,1.4767552830850263
9900285882,24-Hour Kiosk (Austin B-cycle),683,2014-10-26T00:00:00.000,14:12:00,2548,UT West Mall @ Guadalupe,2499,City Hall / Lavaca & 2nd,14,10,2014,2548,UT West Mall @ Guadalupe,active,"{'latitude': '30.28576', 'longitude': '-97.74181'}",2242 Guadalupe St.,16748,paid_parking,15,solar,45,5,9,2021-01-04T00:00:00.000,2860,9,"in buffer area parking, check dock #",,30.28576,-97.74181,2499,City Hall / Lavaca & 2nd,active,"{'latitude': '30.26476', 'longitude': '-97.74678'}",Presented by Graves Dougherty Hearon & Moody,16732,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2856,9,check dock #-18?,,30.26476,-97.74678,1.4767552830850263
9900285883,24-Hour Kiosk (Austin B-cycle),545,2014-10-26T00:00:00.000,14:12:00,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,96,10,2014,2575,Riverside @ S. Lamar,active,"{'latitude': '30.26446', 'longitude': '-97.75665'}",Presented by Austin Parks Foundation,16736,parkland,15,solar,45,5,5,2021-01-04T00:00:00.000,2859,5,parkland at ROW/easement,,30.26446,-97.75665,2575,Riverside @ S. Lamar,active,"{'latitude': '30.26446', 'longitude': '-97.75665'}",Presented by Austin Parks Foundation,16736,parkland,15,solar,45,5,5,2021-01-04T00:00:00.000,2859,5,parkland at ROW/easement,,30.26446,-97.75665,0.0
